latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
51.2,4.998,300.7,1.1,1,2017-10-05,1220,Aqua,MODIS,30,6.0NRT,284.5,5.8,D
50.954,5.361,301.8,1.3,1.2,2017-10-21,2150,Terra,MODIS,44,6.0NRT,281.1,12.2,N
51.178,3.811,304.8,1.1,1.1,2017-10-11,0215,Aqua,MODIS,62,6.0NRT,278.5,10.8,N
51.178,3.811,306.6,1.1,1,2017-10-14,2140,Terra,MODIS,69,6.0NRT,286.3,10.3,N
51.178,3.809,307,1.1,1,2017-10-15,0150,Aqua,MODIS,43,6.0NRT,286.9,10.4,N
51.171,3.805,312.4,1,1,2017-10-17,1100,Terra,MODIS,0,6.0NRT,278.6,13.6,D
51.167,3.812,300.9,2.4,1.5,2017-10-18,1150,Aqua,MODIS,0,6.0NRT,284.3,14.2,D
51.176,3.812,307.8,1.1,1.1,2017-10-18,2115,Terra,MODIS,41,6.0NRT,286.3,11.2,N
51.172,3.81,317.5,1.2,1.1,2017-10-21,2150,Terra,MODIS,95,6.0NRT,282.8,24.3,N
51.175,3.81,310.6,1.4,1.2,2017-11-02,0135,Aqua,MODIS,80,6.0NRT,282,21.2,N
51.174,3.811,309.8,1.2,1.1,2017-11-06,2150,Terra,MODIS,78,6.0NRT,277.3,18.9,N
51.174,3.81,319.3,1.5,1.2,2017-11-07,1120,Terra,MODIS,69,6.0NRT,283.5,35,D
51.17,3.812,320.4,1.1,1,2017-11-13,1045,Terra,MODIS,70,6.0NRT,283.3,23.5,D
51.178,3.812,303.2,1,1,2017-11-14,0200,Aqua,MODIS,54,6.0NRT,278.2,9.3,N
51.17,3.811,315.5,1.1,1.1,2017-11-19,2115,Terra,MODIS,91,6.0NRT,276.6,22.8,N
51.17,3.809,310.2,1.1,1.1,2017-11-22,1225,Aqua,MODIS,53,6.0NRT,286.3,13.7,D
51.17,3.809,318.3,1.2,1.1,2017-11-22,2150,Terra,MODIS,97,6.0NRT,274.6,26,N
51.169,3.808,307.7,1.3,1.1,2017-11-28,2110,Terra,MODIS,72,6.0NRT,276,18.5,N
51.172,3.808,303.6,1.1,1,2017-12-02,0150,Aqua,MODIS,56,6.0NRT,273.1,11.9,N
51.174,3.812,308,1.2,1.1,2017-12-08,1035,Terra,MODIS,29,6.0NRT,278.2,14.7,D
51.17,3.81,316.3,1.3,1.1,2017-12-18,1115,Terra,MODIS,58,6.0NRT,280.3,25.3,D
51.167,3.809,300.3,2,1.4,2017-12-28,1200,Aqua,MODIS,0,6.0NRT,276.6,21.8,D
51.171,3.81,326.1,1,1,2017-12-28,2125,Terra,MODIS,100,6.0NRT,275.3,31.3,N
51.165,3.808,303.7,1,1,2017-10-12,1230,Aqua,MODIS,47,6.0NRT,275.4,7.9,D
51.163,3.804,305,1.3,1.1,2017-10-14,1215,Aqua,MODIS,0,6.0NRT,289.2,6.5,D
51.166,3.812,330.7,1.3,1.1,2017-10-15,1115,Terra,MODIS,76,6.0NRT,294.4,39.7,D
51.165,3.809,302.6,1.1,1,2017-10-17,1245,Aqua,MODIS,43,6.0NRT,270.9,9.1,D
51.163,3.805,309.1,1,1,2017-10-19,1235,Aqua,MODIS,0,6.0NRT,286.1,8.5,D
51.161,3.808,306.8,1.6,1.2,2017-11-07,1305,Aqua,MODIS,0,6.0NRT,281.6,18.9,D
51.166,3.812,305,1,1,2017-11-13,1230,Aqua,MODIS,52,6.0NRT,279.5,9.5,D
51.164,3.804,305.6,1.2,1.1,2017-11-22,1035,Terra,MODIS,0,6.0NRT,283.6,11.3,D
51.164,3.81,305.5,1.2,1.1,2017-12-08,1035,Terra,MODIS,27,6.0NRT,276.8,12.5,D
51.163,3.817,300.6,2.8,1.6,2017-10-02,1145,Terra,MODIS,16,6.0NRT,284.7,19,D
51.169,3.814,300.8,1.1,1.1,2017-10-05,1220,Aqua,MODIS,18,6.0NRT,284,5.3,D
51.171,3.813,318.8,1,1,2017-10-06,0155,Aqua,MODIS,98,6.0NRT,283.2,20.2,N
51.168,3.813,320.6,1.4,1.2,2017-10-12,2155,Terra,MODIS,100,6.0NRT,279.8,33.7,N
51.167,3.82,316.2,1.4,1.2,2017-10-14,1030,Terra,MODIS,72,6.0NRT,290.6,20.3,D
51.168,3.814,306.9,1.1,1,2017-10-14,2140,Terra,MODIS,70,6.0NRT,286,10.7,N
51.162,3.83,316,1.3,1.1,2017-10-15,1115,Terra,MODIS,76,6.0NRT,293.2,17.3,D
51.17,3.821,334.4,1.4,1.2,2017-10-15,1300,Aqua,MODIS,77,6.0NRT,295.3,51.6,D
51.173,3.814,307,1.7,1.3,2017-10-16,1205,Aqua,MODIS,0,6.0NRT,293.9,12.1,D
51.173,3.813,303.1,1,1,2017-10-16,2130,Terra,MODIS,53,6.0NRT,272.5,8.6,N
51.169,3.82,309.2,1,1,2017-10-17,1100,Terra,MODIS,52,6.0NRT,280.3,10.7,D
51.173,3.819,308.9,1.3,1.1,2017-10-18,0220,Aqua,MODIS,76,6.0NRT,285.8,16.9,N
51.169,3.832,310,1.1,1.1,2017-10-18,2115,Terra,MODIS,79,6.0NRT,283.3,13.7,N
51.166,3.816,336.2,1.1,1.1,2017-10-18,2115,Terra,MODIS,100,6.0NRT,285.5,47.5,N
51.165,3.819,306.6,1,1,2017-10-19,1235,Aqua,MODIS,60,6.0NRT,285.3,7,D
51.17,3.821,301.1,1.7,1.3,2017-10-29,2100,Terra,MODIS,38,6.0NRT,278.6,17.3,N
51.17,3.822,301.3,1.5,1.2,2017-11-05,2105,Terra,MODIS,39,6.0NRT,270.5,18.1,N
51.17,3.82,311.6,1.2,1.1,2017-11-06,1035,Terra,MODIS,62,6.0NRT,279.3,17,D
51.172,3.818,302,1.2,1.1,2017-11-06,2150,Terra,MODIS,35,6.0NRT,275.5,11.2,N
51.168,3.817,307.4,1,1,2017-11-07,0155,Aqua,MODIS,71,6.0NRT,274.5,12.3,N
51.17,3.83,327.9,1.5,1.2,2017-11-07,1120,Terra,MODIS,81,6.0NRT,282.2,51.2,D
51.167,3.823,333.3,1.5,1.2,2017-11-07,1120,Terra,MODIS,67,6.0NRT,283.1,63.7,D
51.164,3.824,304.8,1.6,1.2,2017-11-07,1305,Aqua,MODIS,49,6.0NRT,279.9,17.7,D
51.17,3.813,307.6,1.1,1.1,2017-11-09,1110,Terra,MODIS,57,6.0NRT,276.2,13.4,D
51.171,3.819,305.5,2.4,1.5,2017-11-12,1140,Terra,MODIS,53,6.0NRT,279.1,36.9,D
51.169,3.815,305.3,1,1,2017-11-17,2130,Terra,MODIS,64,6.0NRT,276.7,11.1,N
51.169,3.819,320,1.3,1.1,2017-11-19,0220,Aqua,MODIS,100,6.0NRT,277.1,31.8,N
51.167,3.815,307.4,1.4,1.2,2017-12-01,1030,Terra,MODIS,49,6.0NRT,276.6,19.3,D
51.172,3.818,310.1,1,1,2017-12-16,0200,Aqua,MODIS,79,6.0NRT,274.8,15,N
51.168,3.822,304.4,1.3,1.1,2017-12-17,1215,Aqua,MODIS,0,6.0NRT,271.2,13.7,D
51.175,3.817,315.9,1.3,1.1,2017-10-15,1115,Terra,MODIS,66,6.0NRT,294.5,17.2,D
51.176,3.815,310.9,1.4,1.2,2017-10-17,0135,Aqua,MODIS,81,6.0NRT,285.6,19.6,N
51.174,3.818,301,1.7,1.3,2017-11-01,0230,Aqua,MODIS,36,6.0NRT,272.5,19.3,N
51.18,3.819,300.6,1.4,1.2,2017-11-02,0135,Aqua,MODIS,31,6.0NRT,281.4,11.6,N
51.177,3.82,306.9,1,1,2017-11-07,0155,Aqua,MODIS,50,6.0NRT,275,11.7,N
51.176,3.845,301.8,2.2,1.4,2017-11-13,0120,Aqua,MODIS,44,6.0NRT,275.8,30.7,N
51.175,3.815,310.8,1,1,2017-12-09,0155,Aqua,MODIS,81,6.0NRT,274.6,15.6,N
51.166,3.813,321.4,1.3,1.1,2017-11-12,2110,Terra,MODIS,100,6.0NRT,277.6,34,N
